Day,Outlook,Temperature,Humidity,Wind,PlayTennis
D1,Sunny,Hot,High,Weak,Yes
D2,Sunny,Hot,High,Strong,No
D3,Overcast,Hot,High,Weak,Yes
D4,Rain,Mild,High,Weak,Yes
D5,Rain,Cool,Normal,Weak,Yes
D6,Rain,Cool,Normal,Strong,No
D7,Overcast,Cool,Normal,Strong,Yes
D8,Sunny,Mild,High,Weak,No
D9,Sunny,Cool,Normal,Weak,Yes
D10,Rain,Mild,Normal,Weak,Yes
D11,Sunny,Mild,Normal,Strong,Yes
D12,Overcast,Mild,High,Strong,Yes
D13,Overcast,Hot,Normal,Weak,Yes
D14,Sunny,Mild,Normal,Weak,Yes
D15,Rain,Mild,Normal,Strong,No
D16,Overcast,Hot,High,Strong,Yes
D17,Sunny,Cool,High,Weak,No
D18,Overcast,Cool,Normal,Weak,Yes
D19,Sunny,Hot,Normal,Strong,Yes
D20,Rain,Hot,High,Strong,No
D21,Overcast,Mild,Normal,Weak,Yes
D22,Rain,Hot,High,Weak,Yes
D23,Sunny,Cool,High,Strong,No
D24,Rain,Cool,High,Strong,No
D25,Sunny,Hot,High,Weak,No
D26,Overcast,Mild,Normal,Strong,Yes
D27,Overcast,Cool,High,Strong,Yes
D28,Rain,Mild,High,Strong,No
D29,Sunny,Cool,Normal,Strong,Yes
D30,Overcast,Hot,High,Weak,Yes
D31,Sunny,Hot,High,Strong,No
D32,Rain,Hot,Normal,Strong,No
D33,Overcast,Mild,High,Strong,Yes
